pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
Health tracking and clinical prep|PMDD Two-Cycle Symptom Tracker|pmdd-two-cycle-symptom-tracker|lead-magnets|bofu|pmdd-tracker;doctor-prep|pmdd symptom tracker|HTML tracker|Two-cycle daily mood and body symptom tracker with timing windows and clinician summary prompts|ACOG Premenstrual Syndrome; ACOG PMDD expert article; Office on Women's Health PMS|/resources/symptom-guides/pmdd-symptoms-vs-pms;/resources/guides/pmdd-period-tracking-guide;/resources/condition-guides/pmdd-treatment-options;/resources/wellness-guides/mental-health-cycle-tracking;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Health tracking and clinical prep|Perimenopause Bleeding Pattern Log|perimenopause-bleeding-pattern-log|lead-magnets|mofu|perimenopause;doctor-prep|perimenopause bleeding log|HTML log|Perimenopause bleeding and symptom log for cycle gaps, heavy days, spotting, hot flashes, sleep, and care questions|ACOG Perimenopausal Bleeding and Bleeding After Menopause; Office on Women's Health menopause basics; Office on Women's Health menopause symptoms|/resources/life-stage-guides/perimenopause-period-changes;/resources/life-stage-guides/perimenopause-hormone-changes-tracking;/resources/best/best-period-tracker-for-perimenopause;/free/abnormal-bleeding-log;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Health tracking and clinical prep|Birth Control Implant Bleeding Log|birth-control-implant-bleeding-log|life-stage-guides|tofu|birth-control-user;cycle-symptom-tracker|implant birth control bleeding|tracker guide|Bleeding-pattern log for implant users with spotting days, heavy days, timing after placement, symptoms, and appointment prompts|CDC implant bleeding irregularities guidance; ACOG breakthrough bleeding with birth control; ACOG postpartum birth control implant bleeding note|/resources/life-stage-guides/birth-control-period-changes;/resources/life-stage-guides/tracking-cycles-after-stopping-birth-control;/resources/symptom-guides/spotting-vs-period;/free/abnormal-bleeding-log;/resources/guides/period-tracking-without-cloud|drafted-batch-2
Comparisons, switching, and app audits|Flo Data Deletion Receipt Checklist|flo-data-deletion-receipt-checklist|lead-magnets|mofu|flo-switcher;privacy-conscious|how to delete data from flo app|HTML checklist|Receipt checklist for export, deletion request, reply tracking, follow-up dates, and device cleanup after leaving Flo|Current Flo privacy/delete/account help pages; FTC Flo 2021; Apple Health if Health export is mentioned|/resources/guides/delete-flo-account-keep-data;/resources/guides/switching-from-flo-complete-guide;/free/delete-period-data-guide;/resources/guides/what-happens-period-data-delete-app|consolidated-2026-07-06
Comparisons, switching, and app audits|Clue Data Export Review Worksheet|clue-data-export-review-worksheet|lead-magnets|mofu|clue-switcher;privacy-conscious|clue data export|worksheet|Worksheet for reviewing a Clue export, deciding what to keep, and cleaning sensitive notes before switching apps|Current Clue export/privacy help pages; GDPR export context only if cited; existing Clue switch pages|/compare/alternatives/clue-data-export-then-what;/resources/guides/how-to-switch-from-clue;/free/delete-period-data-guide;/resources/privacy-in-practice/period-tracker-data-portability-export;/compare/versus/period-tracker-data-export-compared|consolidated-2026-07-06
Practical privacy and legal safety|Period App Location Permission Audit|period-app-location-permission-audit|privacy-in-practice|mofu|privacy-conscious;phone-audit-user|period app location permission|checklist guide|Phone-level location permission audit for period apps, maps, ads, health hubs, widgets, and screenshots|Current Apple and Android location permission docs; FTC or data broker location enforcement examples|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/how-period-tracker-apps-collect-data;/free/delete-period-data-guide|consolidated-2026-07-31
Practical privacy and legal safety|Reset Your Advertising ID After Period Apps|reset-ad-id-after-period-apps|privacy-in-practice|mofu|privacy-conscious;period-app-switcher|reset advertising id period app|procedure|Step-by-step advertising ID reset and app-tracking cleanup plan after deleting or switching period apps|Current Apple App Tracking Transparency docs; current Android advertising ID docs; FTC Flo/Premom context for ad sharing|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/how-period-tracker-apps-collect-data;/free/delete-period-data-guide;/free/period-app-privacy-audit-kit|drafted-batch-3
Free tools, templates, and self-checks|Period App Data Map Worksheet|period-app-data-map-worksheet|lead-magnets|mofu|privacy-conscious;data-sensitive|period app data map|worksheet|Data map worksheet that lists where period data may live across apps, health hubs, backups, email, exports, partners, and old phones|Apple Health docs; Google Health Connect docs; FTC examples; existing privacy audit sources|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/does-apple-health-share-period-data;/resources/guides/google-fit-menstrual-data-privacy|consolidated-2026-07-06
Free tools, templates, and self-checks|Switch Period Trackers Without Losing History|switch-period-trackers-without-losing-history|lead-magnets|mofu|period-app-switcher;health-tracker|switch period trackers without losing history|migration checklist|Migration checklist for export, backup, key date summary, manual re-entry, deletion timing, and doctor-visit continuity|Existing switching guides; app export docs only if named; medical tracking caveats from existing doctor prep pages|/resources/guides/switching-from-cloud-period-trackers;/resources/privacy-in-practice/period-tracker-data-portability-export;/compare/versus/period-tracker-data-export-compared;/free/first-period-starter-kit;/app-guides/floriva-vs-paper-tracking|consolidated-2026-07-06
Practical privacy and legal safety|App Store Privacy Label Check for Period Apps|app-store-privacy-label-period-apps|privacy-in-practice|mofu|careful-buyer;privacy-conscious|app store privacy label period app|field guide|Plain-language checklist for reading App Store privacy labels and comparing them with a period app privacy policy|Current Apple App Privacy Details docs; FTC privacy enforcement context; Consumer Reports or Mozilla privacy label caveats if used|/free/period-app-privacy-audit-kit;/resources/guides/how-to-read-period-tracker-privacy-policy;/resources/guides/period-app-privacy-red-flags;/resources/guides/understanding-period-app-data-policies;/tools/quiz/is-my-period-app-asking-too-much-quiz|consolidated-2026-07-31
Free tools, templates, and self-checks|Period App Deletion Follow-Up Email Templates|period-app-deletion-follow-up-email-templates|lead-magnets|mofu|period-app-switcher;privacy-conscious|period app deletion request follow up|email templates|Plain email templates for first request, no reply, partial reply, export request, and confirmation receipt after deleting a period app|FTC enforcement examples; state privacy rights only if cited carefully; existing data deletion guide|/free/delete-period-data-guide;/resources/guides/what-happens-period-data-delete-app;/free/period-app-privacy-audit-kit|consolidated-2026-07-06
Teen and parent privacy|Teen Period Tracker Setup Card|teen-period-tracker-setup-card|lead-magnets|tofu|teen-user;parent-helper|period tracker for teens|setup card|One-page teen-friendly setup card for choosing what to track, what to leave out, phone privacy settings, and when to ask for help|ACOG menstruation in adolescents; Nemours or KidsHealth first-period education; current Apple and Android notification/privacy docs|/resources/life-stage-guides/teen-first-period-tracking;/compare/versus/teen-safe-period-trackers-compared;/app-guides/floriva-for-teens;/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/tools/quiz/is-your-teen-ready-for-period-tracker|consolidated-2026-07-06
Teen and parent privacy|Teen Period App Privacy Checklist|teen-period-app-privacy-checklist|privacy-in-practice|mofu|teen-user;privacy-conscious;parent-helper|teen period app safety|checklist guide|Checklist for checking accounts, ads, store privacy labels, cloud sync, notifications, family sharing, and lock-screen exposure before a teen uses a period app|FTC health app privacy context; COPPA only if cited carefully; Apple App Privacy Details; Google Play Data safety|/compare/versus/teen-safe-period-trackers-compared;/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/privacy-in-practice/reset-ad-id-after-period-apps;/resources/life-stage-guides/teen-first-period-tracking|consolidated-2026-07-31
Teen and parent privacy|Parent and Teen Period App Boundary Script|parent-teen-period-app-boundary-script|lead-magnets|tofu|parent-helper;teen-user|how to talk to daughter about period|conversation script|Plain conversation script for agreeing what a teen tracks, what a parent can see, when to ask for medical help, and how privacy is handled|ACOG menstruation in adolescents; AAP or pediatric privacy/confidential care source if used; current teen tracking page sources|/resources/life-stage-guides/teen-first-period-tracking;/tools/quiz/is-your-teen-ready-for-period-tracker;/compare/versus/teen-safe-period-trackers-compared;/resources/privacy-in-practice/period-tracking-privacy-for-teens-and-students;/free/first-period-starter-kit|consolidated-2026-07-06
Teen and parent privacy|First Period Tracking Starter Sheet|first-period-tracking-starter-sheet|lead-magnets|tofu|teen-user;parent-helper|first period tracker|starter worksheet|Simple first-period tracker with period dates, flow, pain, school impact, questions, and privacy notes for the first six cycles|ACOG menstruation in adolescents; Nemours or KidsHealth first-period education; do not diagnose from early irregular cycles|/resources/life-stage-guides/teen-first-period-tracking;/free/first-period-starter-kit;/resources/symptom-guides/period-blood-colors-guide;/resources/symptom-guides/cramps-before-period|consolidated-2026-07-06
Teen and parent privacy|Shared Apple ID Period Privacy Checklist|shared-apple-id-period-privacy-checklist|privacy-in-practice|mofu|iphone-user;teen-user;parent-helper|shared apple id period data|checklist guide|Checklist for checking Apple ID, Family Sharing, iCloud backup, Health app access, notifications, purchases, and device hand-me-downs before logging period data|Current Apple Family Sharing; Apple Health sharing; Apple iCloud backup; Apple notification privacy docs|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/does-apple-health-share-period-data;/resources/life-stage-guides/teen-first-period-tracking|consolidated-2026-07-31
Teen and parent privacy|School Phone Period Tracking Privacy Checklist|school-phone-period-tracking-privacy-checklist|privacy-in-practice|mofu|teen-user;school-device-user;parent-helper|school phone period tracking|checklist guide|Checklist for deciding whether to track on a school-managed phone or tablet, including MDM visibility, backups, browser history, notifications, and safer alternatives|Current Apple/Google managed-device docs if cited; existing school-device page; no legal guarantees about school access|/resources/guides/school-devices-period-tracking;/resources/privacy-in-practice/period-tracking-privacy-for-teens-and-students;/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/free/first-period-starter-kit|consolidated-2026-07-31
Teen and parent privacy|Teen Period Symptoms Doctor Visit Sheet|teen-period-symptoms-doctor-visit-sheet|lead-magnets|mofu|teen-user;parent-helper;health-tracker|teen period symptoms doctor visit|visit prep worksheet|Doctor-visit sheet for teens to log cycle dates, heavy bleeding, pain, missed school, medicine use, questions, and what they want private in the visit|ACOG menstruation in adolescents; ACOG heavy bleeding in adolescents if used; pediatric confidential care source only if cited carefully|/resources/life-stage-guides/teen-first-period-tracking;/free/abnormal-bleeding-log;/free/heavy-period-clot-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/app-guides/floriva-for-teens|consolidated-2026-07-06
Teen and parent privacy|Teen Period App Notification Privacy Check|teen-period-app-notification-privacy-check|privacy-in-practice|mofu|teen-user;shared-device-user;parent-helper|teen period app notifications|checklist guide|Teen-focused notification privacy check for lock screen previews, smart watches, family devices, school devices, widgets, and calendar reminders|Current Apple notification docs; current Android notification docs; existing notification privacy page|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/privacy-in-practice/period-tracking-privacy-for-teens-and-students;/free/first-period-starter-kit;/resources/life-stage-guides/teen-first-period-tracking|consolidated-2026-07-31
Fertility charting tools|Printable BBT Chart for One Cycle|printable-bbt-chart-one-cycle|lead-magnets|tofu|fertility-aware;paper-tracker|bbt chart printable|printable chart|Printable one-cycle basal body temperature chart with wake time, sleep disruption, illness, alcohol, and notes columns|ACOG or Merck ovulation/BBT source if used; existing BBT setup guide; no contraception effectiveness claims|/app-guides/floriva-basal-body-temperature-tracking;/app-guides/floriva-fertility-awareness-method-setup;/resources/symptom-guides/signs-of-ovulation;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/free/ovulation-fertility-awareness-kit|consolidated-2026-07-06
Fertility charting tools|Basal Body Temperature Disruption Log|bbt-disruption-log|lead-magnets|tofu|fertility-aware;health-tracker|basal body temperature chart printable|worksheet|Worksheet for marking BBT readings affected by poor sleep, late wake time, illness, alcohol, travel, fever, or thermometer changes|Existing BBT setup guide; reputable fertility-awareness or medical source if specific timing rules are cited|/app-guides/floriva-basal-body-temperature-tracking;/app-guides/floriva-fertility-awareness-method-setup;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/guides/how-to-track-basal-body-temperature;/free/ovulation-fertility-awareness-kit|consolidated-2026-07-06
Fertility charting tools|Cervical Mucus Tracking Chart|cervical-mucus-tracking-chart|lead-magnets|tofu|fertility-aware;body-literacy|cervical mucus tracking chart|printable chart|Simple daily chart for cervical mucus sensation, appearance, amount, and notes without overinterpreting fertility status|Existing cervical mucus guide; Cleveland Clinic or Merck source if used; no diagnostic or contraception promises|/resources/guides/how-to-track-cervical-mucus;/resources/symptom-guides/cervical-mucus-throughout-cycle;/resources/symptom-guides/discharge-before-period;/app-guides/floriva-fertility-awareness-method-setup;/free/ovulation-fertility-awareness-kit|consolidated-2026-07-06
Fertility charting tools|LH Test Strip Tracker|lh-test-strip-tracker|lead-magnets|tofu|fertility-aware;ttc-user|lh test tracker|worksheet|Daily LH test tracker for time tested, result, line strength, cervical mucus, BBT follow-up, and notes about multiple surges|Existing ovulation test guide; reputable OPK/LH source if specific timing claims are cited; no pregnancy guarantee|/resources/symptom-guides/signs-of-ovulation;/resources/guides/ovulation-test-how-to-use;/app-guides/floriva-fertility-awareness-method-setup;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/free/ovulation-fertility-awareness-kit|consolidated-2026-07-06
Fertility charting tools|Fertility Awareness Chart Review Checklist|fertility-awareness-chart-review-checklist|lead-magnets|mofu|fertility-aware;paper-tracker|fertility awareness method chart|review checklist|Checklist for reviewing whether a chart has enough days, consistent BBT, mucus notes, LH results, medication notes, and uncertainty flags before sharing with a clinician or instructor|Existing FAM setup guide; CDC fertility awareness methods page if effectiveness or method claims are mentioned; avoid contraceptive instruction|/app-guides/floriva-fertility-awareness-method-setup;/free/ovulation-fertility-awareness-kit;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/privacy-in-practice/your-medical-records-and-period-data;/tools/quiz/do-you-need-fertility-tracking|consolidated-2026-07-06
Fertility charting tools|Paper Fertility Chart to App Checklist|paper-fertility-chart-to-app-checklist|lead-magnets|mofu|paper-tracker;period-app-switcher|paper fertility chart|migration checklist|Checklist for moving a paper fertility chart into an app without copying extra private notes, locations, partner details, or old annotations|Existing switching/data-map pages; existing FAM setup guide; no claim that app import is universal|/free/period-app-privacy-audit-kit;/free/delete-period-data-guide;/app-guides/floriva-fertility-awareness-method-setup;/resources/privacy-in-practice/period-tracker-data-portability-export|consolidated-2026-07-06
Fertility charting tools|Ovulation Symptoms Tracker|ovulation-symptoms-tracker|lead-magnets|tofu|fertility-aware;health-tracker|ovulation symptoms tracker|symptom tracker|Tracker for mid-cycle pain, mucus, spotting, libido, LH tests, BBT shift, and notes without promising ovulation confirmation from symptoms alone|Existing signs of ovulation guide; ovulation spotting tracker; source-backed caveat that symptoms alone do not confirm ovulation|/resources/symptom-guides/signs-of-ovulation;/resources/symptom-guides/ovulation-spotting-tracker;/resources/symptom-guides/how-long-does-ovulation-last;/app-guides/floriva-fertility-awareness-method-setup;/free/ovulation-fertility-awareness-kit|consolidated-2026-07-06
Fertility charting tools|Fertility Data Privacy Handoff Sheet|fertility-data-privacy-handoff-sheet|privacy-in-practice|mofu|fertility-aware;privacy-conscious|fertility chart template|privacy handoff sheet|Handoff worksheet for deciding which BBT, mucus, LH, sex, pregnancy test, and symptom details to share with a clinic, partner, instructor, or app|Existing fertility clinic privacy page; data minimization guide; no legal or medical guarantee|/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/guides/period-tracker-data-minimization-guide;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/period-app-privacy-audit-kit;/app-guides/floriva-fertility-awareness-method-setup|consolidated-2026-07-31
PCOS practical tools|PCOS Meal Planner Template|pcos-meal-planner-template|lead-magnets|tofu|pcos-diagnosed;suspected-pcos;meal-planner|pcos meal planner|meal planning worksheet|Meal planning worksheet for building repeatable meals, snacks, fiber/protein notes, grocery staples, and questions for a dietitian without promising weight loss or cycle changes|Academy of Nutrition and Dietetics PCOS nutrition page; ACOG PCOS FAQ; no diet-cure claims|/resources/wellness-guides/pcos-diet-plan-for-periods;/resources/condition-guides/pcos-period-irregularity-tracking;/free/pcos-tracking-kit;/app-guides/floriva-for-pcos-tracking;/resources/privacy-in-practice/your-medical-records-and-period-data|consolidated-2026-07-06
PCOS practical tools|7-Day PCOS Meal Planning Worksheet|7-day-pcos-meal-planning-worksheet|lead-magnets|tofu|pcos-diagnosed;meal-planner|7-day pcos diet plan pdf|worksheet|Seven-day meal planning grid with breakfast, lunch, dinner, snacks, prep notes, budget swaps, and care-team questions; not a prescribed diet plan|Academy of Nutrition and Dietetics PCOS nutrition page; ACOG PCOS FAQ; avoid macros/calories and treatment guarantees|/free/pcos-tracking-kit;/resources/wellness-guides/pcos-diet-plan-for-periods;/resources/wellness-guides/anti-inflammatory-diet-for-periods;/resources/condition-guides/pcos-period-irregularity-tracking|consolidated-2026-07-06
PCOS practical tools|PCOS Meal Prep Grocery List|pcos-meal-prep-grocery-list|lead-magnets|tofu|pcos-diagnosed;meal-planner;budget-conscious|pcos meal prep|grocery worksheet|Grocery-list builder for PCOS meal prep with staples, protein, fiber, snack, freezer, and budget sections; avoids medical diet prescriptions|Academy of Nutrition and Dietetics PCOS nutrition page; existing PCOS diet guide; no cure or weight-loss promise|/free/pcos-tracking-kit;/resources/wellness-guides/pcos-diet-plan-for-periods;/resources/wellness-guides/cycle-syncing-food-chart;/free/period-app-privacy-audit-kit|consolidated-2026-07-06
PCOS practical tools|PCOS Doctor Appointment Question List|pcos-doctor-appointment-question-list|lead-magnets|mofu|suspected-pcos;specialist-prep;health-tracker|pcos checklist|visit prep worksheet|Question list for discussing irregular cycles, androgen symptoms, labs, ultrasound, treatment goals, fertility goals, and data privacy before a PCOS appointment|ACOG PCOS FAQ; NICHD PCOS fact sheet; no diagnostic self-test claims|/resources/condition-guides/pcos-period-irregularity-tracking;/resources/guides/period-tracking-pcos-guide;/free/pcos-tracking-kit;/resources/condition-guides/irregular-periods-when-to-see-doctor;/resources/privacy-in-practice/your-medical-records-and-period-data|consolidated-2026-07-06
PCOS practical tools|PCOS Lab Results Tracker|pcos-lab-results-tracker|lead-magnets|mofu|suspected-pcos;specialist-prep;health-tracker|pcos blood test hormone levels|lab tracker|Tracker for lab names, dates, reference ranges, clinician notes, cycle day context, and follow-up questions without interpreting results for the reader|ACOG PCOS FAQ; NICHD PCOS fact sheet; clinician-guided interpretation only|/resources/condition-guides/pcos-period-irregularity-tracking;/resources/guides/period-tracking-pcos-guide;/app-guides/floriva-hormone-health-tracking;/free/pcos-tracking-kit;/resources/privacy-in-practice/your-medical-records-and-period-data|consolidated-2026-07-06
PCOS practical tools|PCOS Medication and Supplement Change Log|pcos-medication-supplement-change-log|lead-magnets|mofu|pcos-diagnosed;health-tracker|pcos treatment tracker|change log|Change log for medications, supplements, dose changes, start dates, side effects, cycle changes, symptom notes, and clinician follow-up questions without giving treatment advice|ACOG PCOS FAQ; Endocrine Society PCOS guideline if metformin is mentioned; no supplement efficacy claims|/resources/condition-guides/pcos-period-irregularity-tracking;/app-guides/floriva-for-pcos-tracking;/free/pcos-tracking-kit;/resources/privacy-in-practice/your-medical-records-and-period-data|consolidated-2026-07-06
PCOS practical tools|PCOS Acne and Hair Growth Photo Log|pcos-acne-hair-growth-photo-log|lead-magnets|mofu|pcos-diagnosed;suspected-pcos;health-tracker|pcos acne tracker|photo log|Monthly photo and symptom log for acne, hair growth, scalp hair changes, lighting, location, severity, and clinician notes without diagnosing androgen levels|ACOG PCOS FAQ; NICHD PCOS fact sheet; existing hormonal acne guide; no diagnosis from photos|/resources/symptom-guides/hormonal-acne-cycle-mapping;/resources/condition-guides/pcos-period-irregularity-tracking;/free/pcos-tracking-kit;/app-guides/floriva-hormone-health-tracking|consolidated-2026-07-06
